eng,slo
14_73,14_73
Two additional teams of 40 attendants each will accompany the flame on its Mainland China route. This arrangement has however sparked several controversies.,Dve dodatni ekipi po 40 spremljevalcev bosta spremljali plamen na celinski Kitajski poti. Vendar je ta dogovor sprožil več polemik.
How many additional teams will help with the Mainland China route?,Koliko dodatnih ekip bo pomagalo pri celinski Kitajski poti?
Two,Dve
How many members are on each of these two teams?,Koliko članov je v vsaki od teh dveh ekip?
40,40
288_5,288_5
"To qualify for participation in the auctions, banks must be able to offer proof of appropriate collateral in the form of loans to other entities. These can be the public debt of member states, but a fairly wide range of private banking securities are also accepted. The fairly stringent membership requirements for the European Union, especially with regard to sovereign debt as a percentage of each member state's gross domestic product, are designed to insure that assets offered to the bank as collateral are, at least in theory, all equally good, and all equally protected from the risk of inflation.","Da bi bile banke upravičene do sodelovanja na dražbah, morajo imeti možnost, da drugim subjektom ponudijo dokazilo o ustreznem zavarovanju s premoženjem v obliki posojil. To je lahko javni dolg držav članic, vendar je sprejemljiva tudi precej široka paleta zasebnih bančnih vrednostnih papirjev. Precej stroge zahteve za članstvo v Evropski uniji, zlasti kar zadeva državni dolg kot odstotek bruto domačega proizvoda vsake države članice, so namenjene temu, da se zagotovi, da so sredstva, ki se banki ponudijo kot zavarovanje, vsaj teoretično enako dobra in enako zaščitena pred tveganjem inflacije."
How does a bank make sure that they can participate in auctions?,"Kako banka zagotovi, da lahko sodeluje na dražbah?"
must be able to offer proof of appropriate collateral in the form of loans to other entities,morajo biti zmožni ponuditi dokazilo o ustreznem zavarovanju s premoženjem v obliki posojil drugim subjektom
What kind of proof is acceptable for participation in auctions?,Kakšen dokaz je sprejemljiv za sodelovanje na dražbah?
"public debt of member states, but a fairly wide range of private banking securities are also accepted","sprejet je tudi javni dolg držav članic, vendar je sprejemljiva tudi precej široka paleta zasebnih bančnih vrednostnih papirjev"
What should all assets offered up as collateral be?,"Kakšna naj bi bila vsa sredstva, ki se ponudijo kot zavarovanje?"
"all equally good, and all equally protected from the risk of inflation",vse enako dobro in vsi enako zaščiteni pred tveganjem inflacije
What must be a part of a states Gross Domestic Product in order for them to be considered for particpation in auctions?,"Kaj mora biti del bruto domačega proizvoda države, da bi se lahko obravnavalo kot udeležba na dražbah?"
sovereign debt,državni dolg
174_92,174_92
"The focus on the Hellenistic period over the course of the 19th century by scholars and historians has led to an issue common to the study of historical periods; historians see the period of focus as a mirror of the period in which they are living. Many 19th century scholars contended that the Hellenistic period represented a cultural decline from the brilliance of classical Greece. Though this comparison is now seen as unfair and meaningless, it has been noted that even commentators of the time saw the end of a cultural era which could not be matched again. This may be inextricably linked with the nature of government. It has been noted by Herodotus that after the establishment of the Athenian democracy:","Poudarek znanstvenikov in zgodovinarjev na helenistično obdobje v 19. stoletju je privedel do vprašanja, ki je skupno preučevanju zgodovinskih obdobij; zgodovinarji vidijo obdobje osredotočenosti kot zrcalo obdobja, v katerem živijo. Mnogi učenjaki iz 19. stoletja so trdili, da je helenistično obdobje predstavljalo kulturni upad zaradi briljantnosti klasične Grčije. Čeprav se ta primerjava zdaj obravnava kot nepravična in nesmiselna, je bilo ugotovljeno, da je celo takratni komentatorji doživel konec kulturne dobe, ki je ni bilo več mogoče primerjati. To je lahko neločljivo povezano z naravo vlade. Herodot je ugotovil, da po vzpostavitvi atenske demokracije:"
What century of scholars considered the Hellenistic period a decline in culture from classic Greece?,Katero stoletje učenjakov je helenistično obdobje štelo za upad kulture iz klasične Grčije?
19th,19.
How did 19th century scholars view the Hellenistic period?,Kako so učenjaki iz 19. stoletja gledali helenistično obdobje?
a mirror,ogledalo
The viewpoint that the Hellenistic period represented a decline in culture was proven to be meaningless and what?,"Stališče, da helenistično obdobje predstavlja upad kulture, se je izkazalo za nesmiselno in kaj?"
unfair,nepošteno
